Proteins
MaxQuant:feature intensity,ass_0,ass_1,ass_2,ass_3,ass_4,ass_5,ass_6,ass_7,SV_config_2,SV_config_1,SV_config_1_L,SV_config_2_H,SV_config_2_L,SV_config_1_H
prot_0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3644300.0,2138600.0,2720000.0,3039000.0
prot_2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,8188100.0,5627000.0,6527000.0,5934000.0
prot_5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,787560.0,1013200.0,1301900.0,721270.0
prot_8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,210610.0,283040.0,0.0
prot_9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,3149100.0,3256000.0,4649500.0,2785500.0
prot_10,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_11,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,6690400.0,3455400.0,4943400.0,5810000.0
prot_12,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_13,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,1332800.0,0.0,0.0,468340.0
prot_14,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
prot_15,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,2714600.0,2449700.0,3133800.0,2048400.0
prot_16,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,0.0,0.0,0.0,0.0
prot_17,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,97409.0,0.0,0.0,104960.0
prot_18,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
