Proteins
Entity,MaxQuant:feature intensity_SV_config_2,MaxQuant:feature intensity_SV_config_1,MaxQuant:feature intensity_SV_config_1_L,MaxQuant:feature intensity_SV_config_2_H,MaxQuant:feature intensity_SV_config_2_L,MaxQuant:feature intensity_SV_config_1_H
prot_1,Null,Null,3644300.0,2138600.0,2720000.0,3039000.0
prot_4,Null,Null,8188100.0,5627000.0,6527000.0,5934000.0
prot_7,Null,Null,787560.0,1013200.0,1301900.0,721270.0
prot_8,Null,Null,0.0,210610.0,283040.0,0.0
prot_9,Null,Null,3149100.0,3256000.0,4649500.0,2785500.0
prot_11,Null,Null,6690400.0,3455400.0,4943400.0,5810000.0
prot_13,Null,Null,1332800.0,0.0,0.0,468340.0
prot_15,Null,Null,2714600.0,2449700.0,3133800.0,2048400.0
prot_16,Null,Null,0.0,0.0,0.0,0.0
prot_17,Null,Null,97409.0,0.0,0.0,104960.0
prot_20,Null,Null,2.0493E8,1.4534E8,1.7221E8,1.9153E8
prot_21,Null,Null,73825.0,0.0,0.0,59727.0
prot_27,Null,Null,2858600.0,156920.0,199000.0,2702900.0
prot_29,Null,Null,0.0,1188300.0,1182100.0,0.0
prot_30,Null,Null,2.5673E7,2.0795E7,2.2807E7,2.4708E7
prot_34,Null,Null,1.0339E7,0.0,0.0,810710.0
prot_43,Null,Null,3260100.0,0.0,0.0,1776000.0
prot_51,Null,Null,3021800.0,1612000.0,3234600.0,2118400.0
prot_55,Null,Null,3235000.0,2743700.0,3007800.0,2088700.0
prot_56,Null,Null,6.9414E7,4.7236E7,6.6943E7,5.2762E7
prot_58,Null,Null,1717300.0,881140.0,1346600.0,993670.0
prot_60,Null,Null,308110.0,437580.0,541620.0,307770.0
prot_66,Null,Null,2171100.0,2312300.0,3296700.0,1958300.0
prot_67,Null,Null,1.2E8,7.8928E7,8.8754E7,1.1581E8
prot_68,Null,Null,1.2078E7,7486000.0,8719400.0,8941000.0
prot_69,Null,Null,1267300.0,625770.0,1161500.0,694050.0
prot_70,Null,Null,9163200.0,3142900.0,4212300.0,6671500.0
prot_71,Null,Null,2625400.0,3000900.0,2271200.0,1834800.0
prot_72,Null,Null,9172900.0,1.1868E7,1.1651E7,8065000.0
prot_73,Null,Null,1493700.0,1540300.0,1779800.0,1539100.0
prot_76,Null,Null,2601400.0,1029400.0,1388500.0,2189800.0
prot_81,Null,Null,1.2102E7,4400400.0,5511800.0,1.0723E7
prot_82,Null,Null,2.3884E7,1.883E7,2.0355E7,2.1488E7
