Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Unique peptides	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Peptide IDs	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																	
29.58375	29.66706	29.53733	29.79609	29.99172	28.86532	28.91068	29.30371	28.80224	29.65911				+	7.0147E-158	7408300000	13	11	11	9	9	9	9	9	9	8	9	74.3	NaN	71.8	71.8	68	64.6	70.4	64.1	62.6	64.6	62.6	64.6	1.97860214482586	0.606976699829104	YAL003W	YAL003W
29.18863	28.22821	28.51623	28.5343	28.98373	29.22566	29.39479	29.09683	28.95341	28.16274					0	4957900000	10	7	5	8	7	8	8	7	7	7	8	70.9	NaN	55.9	59.7	65.1	61.4	60.9	62	63.4	61.2	58.4	59.7	0.462489465162645	-0.276465606689452	YAL005C	YAL005C
29.7404	28.44711	29.33882	29.62942	30.20851	29.51818	29.39194	28.67354	29.08185	29.13714					2.8566E-194	7073100000	10	8	8	7	7	9	8	8	9	7	7	38.3	NaN	28.4	28.4	25.6	25.6	31.2	28.4	28.4	31.2	24.6	28.7	0.435488505376692	0.312320709228516	YAL012W	YAL012W
25.65026	22.33044	22.2309	25.45381	25.33882	25.55207	25.47794	25.28761	25.47153	20.31263					3.94E-65	335970000	4	4	3	2	3	3	4	3	3	4	1	10.7	NaN	10.7	9	5.4	8.3	7.1	10.7	8.3	8.3	10.7	3.6	0.0607401900907769	-0.219508743286131	YAL016W	YAL016W
23.48161	19.157	23.29544	21.42373	23.49167	22.85401	22.95973	22.94002	23.03302	21.74632					2.5812E-11	72504000	3	2	0	1	1	1	1	1	1	1	1	5.4	NaN	3.9	0	2.2	1.4	2.2	2.2	2.2	2.2	2.2	1.4	0.252236713638194	-0.536731338500978	YAL021C	YAL021C
19.09464	23.09034	19.2431	19.06131	23.8145	18.59784	18.70913	22.67088	21.91138	22.27555					0.0028476	39382000	1	0	1	0	0	1	0	0	1	1	1	2.6	4422	0	2.6	0	0	2.6	0	0	2.6	2.6	2.6	0.0067623422247509	0.0278263092041016	YAL025C	YAL025C
27.97197	27.11694	28.02427	27.84164	28.0041	27.21484	27.30687	26.72091	27.19601	27.06168				+	1.4337E-249	1917800000	24	15	12	17	15	11	15	16	12	14	15	27.8	NaN	18.9	16.6	22.8	18.3	15.6	19.7	20.6	16.5	16.8	20.2	2.06641668250164	0.691724014282226	YAL035W	YAL035W
25.43603	29.85626	22.47155	24.9266	23.934	25.77794	23.21287	22.46049	21.13996	22.57372					8.6404E-34	1152600000	7	2	3	1	3	2	3	1	1	1	1	24.9	NaN	4.1	9.5	3.8	10.8	9.2	13.3	5.4	5.4	2.2	5.4	0.811315286977291	2.29189453125	YAL036C	YAL036C
33.81765	33.68269	34.01263	33.89609	34.06832	33.45525	33.53531	33.49548	33.35008	33.46185				+	0	139370000000	33	27	25	29	29	29	23	30	25	26	26	78.2	NaN	67.8	63.8	66.2	67.6	76.2	64	70.2	64.2	68	66.2	3.37950021549588	0.435881805419925	YAL038W	YAL038W
26.41795	26.63256	26.66384	26.02172	26.9354	24.66313	26.57418	25.48022	25.48425	26.69922					3.8766E-139	825660000	5	4	3	4	4	4	3	5	3	3	4	34.7	NaN	26.5	26.5	26.5	26.5	26.5	21.8	34.7	21.8	21.8	34.7	0.986101918549425	0.754090499877929	YAL044C	YAL044C
