LFQ intensity puf3a	LFQ intensity puf3b	LFQ intensity puf3c	LFQ intensity puf3d	LFQ intensity puf3e	LFQ intensity wta	LFQ intensity wtb	LFQ intensity wtc	LFQ intensity wtd	LFQ intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Peptides	Unique peptides	Peptides puf3a	Peptides puf3b	Peptides puf3c	Peptides puf3d	Peptides puf3e	Peptides wta	Peptides wtb	Peptides wtc	Peptides wtd	Peptides wte	Sequence coverage [%]	Unique sequence coverage [%]	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																												
29.8364	29.99307	29.35418	29.6108	29.70845	29.66704	29.50947	29.53808	29.18926	29.73274					6.1821E-165	8068800000	13	13	11	11	9	9	10	10	9	9	8	10	74.3	74.3	11	11	9	9	10	10	9	9	8	10	71.8	71.8	68	64.6	74.3	68	62.6	64.6	62.6	68.4	0.585021519337696	0.173260116577151	YAL003W	YAL003W
29.06507	28.70365	28.62391	29.00376	28.93913	29.38948	29.38066	29.17596	29.12588	28.6598					0	4977500000	40	10	29	32	31	31	30	29	29	30	31	30	70.9	21.7	7	5	8	7	8	8	7	7	8	9	55.9	61.4	65.1	62	60.9	62	63.4	61.2	63.2	59.7	0.936821150299123	-0.279252243041991	YAL005C	YAL005C
29.5664	29.50355	29.2781	29.56105	29.46147	29.63715	29.47373	29.51256	29.41605	29.48643					1.9814E-201	7140400000	10	10	8	8	7	7	9	8	8	9	7	8	38.3	38.3	8	8	7	7	9	8	8	9	7	8	28.4	28.4	25.6	25.6	31.2	28.4	28.4	31.2	24.6	32.7	0.193083234314244	-0.0310688018798828	YAL012W	YAL012W
25.44556	24.65113	25.20602	25.12881	25.19652	25.50682	25.64389	25.3244	25.65431	22.2175					4.2165E-66	335970000	4	4	4	3	2	3	3	4	3	3	4	1	10.7	10.7	4	3	2	3	3	4	3	3	4	1	10.7	9	5.4	8.3	7.1	10.7	8.3	8.3	10.7	3.6	0.145432210771478	0.256224060058592	YAL016W	YAL016W
27.72234	27.71221	27.62192	27.78849	27.47205	27.67902	27.53445	27.57651	27.73673	27.73221					2.2142E-247	2028600000	25	25	16	13	18	15	13	15	16	12	15	15	28.1	28.1	16	13	18	15	13	15	16	12	15	15	21.2	18.7	23.6	18.3	17.9	19.7	20.6	16.5	18.2	20.2	0.0607498786809111	0.011615371704103	YAL035W	YAL035W
27.21132	29.55647	22.24256	26.66899	27.97345	27.8565	26.42029	22.21528	22.26855	29.21674					2.4958E-40	2185600000	9	9	3	4	1	3	2	4	2	1	3	3	30.1	30.1	3	4	1	3	2	4	2	1	3	3	6.2	12.2	3.8	10.8	9.2	15.4	7.3	5.4	7.3	11.1	0.248422044245881	1.13508491516113	YAL036C	YAL036C
33.72741	33.87463	33.66066	33.98549	33.42229	33.8536	33.81955	33.80713	33.84024	33.89329					0	142310000000	36	34	29	28	31	32	31	26	33	27	29	30	78.4	76.4	27	26	29	30	30	24	31	25	27	28	67.8	63.8	66.2	74	76.4	70.4	70.4	64.2	68	66.2	0.526677375264179	-0.108663940429693	YAL038W	YAL038W
26.17358	26.46807	26.27723	26.42103	26.35627	26.65799	26.31013	26.17039	26.21188	26.44392					5.1369E-141	825660000	5	5	4	3	4	4	4	3	5	3	3	4	34.7	34.7	4	3	4	4	4	3	5	3	3	4	26.5	26.5	26.5	26.5	26.5	21.8	34.7	21.8	21.8	34.7	0.0689197781076647	-0.0196254730224616	YAL044C	YAL044C
