LFQ intensity puf3a	LFQ intensity puf3b	LFQ intensity puf3c	LFQ intensity puf3d	LFQ intensity puf3e	LFQ intensity wta	LFQ intensity wtb	LFQ intensity wtc	LFQ intensity wtd	LFQ intensity wte	Only identified by site	Reverse	Contaminant	t-test Significant	PEP	Intensity	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Unique sequence coverage [%]	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	Unique peptides	Peptide counts (unique)	-Log t-test p value	t-test Difference	Protein IDs	Majority protein IDs
#!{Type}E	E	E	E	E	E	E	E	E	E	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
#!{C:Group1}puf3	puf3	puf3	puf3	puf3	wt	wt	wt	wt	wt																																		
29.73331	29.78435	29.22322	29.50919	29.58255	29.56338	29.40606	29.46084	29.15658	29.6583					7.0147E-158	7408300000	11	11	9	9	9	9	9	9	8	9	74.3	74.3	71.8	71.8	68	64.6	70.4	64.1	62.6	64.6	62.6	64.6	13	13	0.403899224757071	0.117488098144531	YAL003W	YAL003W
29.07498	28.69823	28.63827	28.98961	28.93907	29.41199	29.37534	29.17396	29.11309	28.59591					0	4957900000	7	5	8	7	8	8	7	7	7	8	70.9	21.7	55.9	59.7	65.1	61.4	60.9	62	63.4	61.2	58.4	59.7	10	10	0.81203471103547	-0.266025924682616	YAL005C	YAL005C
29.54957	29.49543	29.27311	29.54254	29.43275	29.62432	29.43942	29.49901	29.40105	29.5164					2.8566E-194	7073100000	8	8	7	7	9	8	8	9	7	7	38.3	38.3	28.4	28.4	25.6	25.6	31.2	28.4	28.4	31.2	24.6	28.7	10	10	0.241830649047897	-0.0373615264892564	YAL012W	YAL012W
25.44402	24.65758	25.21468	25.12735	25.19321	25.50609	25.634	25.3281	25.66172	22.5458					3.94E-65	335970000	4	3	2	3	3	4	3	3	4	1	10.7	10.7	10.7	9	5.4	8.3	7.1	10.7	8.3	8.3	10.7	3.6	4	4	0.11792245656134	0.192224121093751	YAL016W	YAL016W
27.64148	27.64389	27.56326	27.71247	27.39771	27.60187	27.44506	27.50233	27.64471	27.69452					1.4337E-249	1917800000	15	12	17	15	11	15	16	12	14	15	27.8	27.8	18.9	16.6	22.8	18.3	15.6	19.7	20.6	16.5	16.8	20.2	24	24	0.0718566356495142	0.0140609741210938	YAL035W	YAL035W
26.68872	29.42146	22.474	26.46407	22.49071	27.61337	22.60181	22.50475	22.54985	22.27566					8.6404E-34	1152600000	2	3	1	3	2	3	1	1	1	1	24.9	24.9	4.1	9.5	3.8	10.8	9.2	13.3	5.4	5.4	2.2	5.4	7	7	0.567638908536162	1.9987045288086	YAL036C	YAL036C
33.72395	33.81402	33.62048	33.95506	33.42217	33.78498	33.80597	33.78741	33.87133	33.83234					0	139370000000	27	25	29	29	29	23	30	25	26	26	78.2	76.2	67.8	63.8	66.2	67.6	76.2	64	70.2	64.2	68	66.2	33	33	0.574879194380829	-0.10926971435547	YAL038W	YAL038W
26.17339	26.47587	26.28959	26.41967	26.35431	26.65854	26.30035	26.17417	26.22065	26.4524					3.8766E-139	825660000	4	3	4	4	4	3	5	3	3	4	34.7	34.7	26.5	26.5	26.5	26.5	26.5	21.8	34.7	21.8	21.8	34.7	5	5	0.065400619019336	-0.018656921386718	YAL044C	YAL044C
23.16154	22.5361	23.6685	22.42369	24.3912	22.52519	22.33854	22.23822	22.28345	23.79476					8.1979E-28	65263000	4	1	3	1	2	0	2	1	1	1	23.1	23.1	23.1	13.7	23.1	5.2	18.9	0	9.4	5.2	5.2	13.7	4	4	0.625814912193989	0.600170516967776	YAL059W	YAL059W
23.98997	23.65064	24.13414	22.15233	23.95376	24.13524	24.07969	23.98902	24.34089	24.32553					1.5271E-54	157220000	4	3	5	1	4	3	3	3	4	2	21.2	21.2	10.8	7.4	16.5	3.5	11.3	9.3	9.5	8	11.9	4.8	8	8	0.836384031437292	-0.597904205322266	YAR002W	YAR002W
24.18873	24.03825	23.94958	24.00488	23.76638	24.09579	23.81901	24.02217	23.78154	23.85681					1.1687E-25	137680000	2	5	3	2	2	2	2	3	1	3	13.2	13.2	3.9	10.8	5.8	3.9	3.9	3.9	3.9	6.3	2.3	5.8	6	6	0.356391616378431	0.0745006561279276	YAR007C	YAR007C
26.43614	26.43068	26.20326	26.51958	26.23801	26.37275	26.50135	26.61288	26.59135	26.43893					5.2562E-71	874870000	8	7	6	8	6	4	5	4	5	6	37.9	37.9	32	29.7	24.8	32	26.1	20.9	20.9	14.1	24.2	25.2	10	10	0.965046314436042	-0.137918472290039	YAR015W	YAR015W
27.45646	22.26948	22.20795	23.67829	22.22745	27.48501	27.26642	27.561	27.51893	27.90885				+	6.2225E-17	1349100000	3	1	1	1	1	4	3	3	4	3	29	29	14.5	6.9	6.9	7.6	6.9	22.9	14.5	14.5	22.9	20.6	5	NaN	2.35116148478153	-3.98011589050293	YDR224C;YBL002W	YDR224C;YBL002W
26.30789	26.49558	25.97005	26.33494	26.1174	26.26707	26.0944	25.98518	26.19103	26.43407					7.1244E-37	733480000	1	3	1	1	1	1	1	1	1	1	33.3	28	22.7	33.3	17.4	22.7	22.7	17.4	22.7	17.4	17.4	22.7	3	NaN	0.167111533531616	0.0508209228515639	YDR225W;YBL003C	YDR225W;YBL003C
24.34103	23.70366	24.11799	24.06431	24.23177	24.3267	24.34618	23.77163	24.17379	23.45914					7.2644E-39	168130000	4	2	4	2	2	2	4	5	2	3	9.8	9.8	5.4	3.9	5.5	3.9	3.9	3.9	5.5	7.7	3.9	4.4	8	8	0.14356669425136	0.076264572143554	YBL007C	YBL007C
26.99108	27.16643	26.97989	27.15432	26.77568	26.74394	26.96301	27.05279	26.92071	27.16221					7.3528E-143	1286000000	9	10	12	11	12	8	11	8	10	11	38.7	38.7	19.2	19	23.2	19	26.2	16.8	22.1	15.2	19.9	19.6	21	21	0.177788198227755	0.0449474334716804	YBL024W	YBL024W
30.38103	30.42092	30.24615	30.52075	30.57434	30.39581	30.41105	30.44293	30.63832	30.5538					2.8644E-116	13930000000	7	7	7	10	7	10	10	8	10	9	45.5	45.5	32.8	29.1	33.9	39.2	30.2	39.2	39.2	33.9	40.2	37.6	13	NaN	0.355359225746784	-0.0597431182861321	YBR084C-A;YBL027W	YBR084C-A;YBL027W
25.83244	25.90405	25.71845	25.93306	25.82418	26.07991	25.89199	26.13134	25.96433	25.58775					5.7562E-94	600030000	5	5	5	4	5	3	4	3	3	5	38.5	38.5	25.7	27.6	23.7	25.7	30	19.5	19.5	19.1	19.1	30	8	8	0.384175736416241	-0.0886280059814446	YBL036C	YBL036C
27.11565	27.24491	27.30391	26.89989	26.99852	27.21067	26.49774	26.79402	25.89449	27.15943					1.5425E-195	1250600000	6	9	6	6	6	8	4	5	5	8	32.8	28.2	15.9	21.1	12.6	15.5	14.3	18.1	10.2	16.4	12.6	19.2	13	13	0.819189297182685	0.401305770874021	YBL039C	YBL039C
25.76731	26.35283	25.11617	25.71586	25.67557	22.25929	25.88341	25.63962	26.0794	26.20576					1.9843E-40	559430000	3	2	3	3	3	1	3	3	2	3	20.7	20.7	13.3	9.5	13.7	13.7	13.7	4.1	11.2	11.6	7.9	13.7	5	5	0.279999477080312	0.512050247192384	YBL041W	YBL041W
24.69243	24.93854	24.7453	25.14523	23.70785	23.75455	25.10013	23.73701	24.6284	25.37289					1.7118E-81	281560000	3	3	3	3	4	2	3	1	4	3	23.2	23.2	8.3	8.3	8.1	8.3	12	5.5	9.4	3.1	11.2	10.9	9	9	0.114209355552647	0.127273559570313	YBL045C	YBL045C
26.39743	26.14297	26.15813	26.21327	26.29084	26.39105	26.76661	26.44191	26.5206	26.06299					0	799450000	13	11	12	11	13	13	13	16	10	7	29.5	29.5	14.6	12	14.6	13.2	15.4	15.6	14.9	19.7	11.7	7.5	25	25	0.826541908237258	-0.196103668212888	YBL047C	YBL047C
23.78037	23.31036	23.61818	22.17404	23.85167	22.28057	22.35961	22.25954	22.30476	23.16892				+	3.3556E-144	89120000	2	3	3	2	6	1	1	0	1	2	31.2	31.2	11.6	15.4	17.5	5.5	30.8	5.1	5.1	0	3.8	10.6	7	7	1.40977466327045	0.87224464416504	YBL050W	YBL050W
22.5205	24.1922	24.23052	24.04318	24.24264	22.56866	24.24278	24.3509	24.48093	23.44884					2.7291E-44	154650000	1	2	3	2	4	1	3	2	3	4	13.8	13.8	1.8	4.3	7.2	4.3	12	1.8	8.4	7.3	9.1	12	5	5	0.019136229549862	0.0273830413818352	YBL051C	YBL051C
26.52082	25.98663	26.51655	26.45158	26.26524	26.51635	26.7656	26.51049	26.56506	26.03995					9.0594E-169	867420000	8	9	8	10	11	7	5	9	7	9	41.4	41.4	27.9	30.7	27	35.7	36.4	25.1	18.2	31.9	25.1	32.4	12	12	0.370239264944199	-0.131323242187499	YBL058W	YBL058W
23.67401	23.54203	23.51893	23.5981	22.24851	22.82384	23.64384	22.54833	22.59341	24.12447					7.0617E-34	91465000	2	2	4	2	0	3	2	1	1	3	23.4	23.4	8.4	9.2	19.2	9.2	0	14.9	10.7	4.6	6.1	13.4	5	5	0.159768401917804	0.169538879394533	YBL064C	YBL064C
30.31398	30.80147	30.309	30.74799	30.18044	30.34615	30.12854	30.49562	30.46129	30.65753					1.916E-115	13986000000	7	7	4	7	7	6	6	6	8	5	46	46	46	46	28.5	46	46	39	41	41	46	34	8	NaN	0.130132935534855	0.0527492523193374	YER102W;YBL072C	YER102W;YBL072C
29.71916	29.74224	29.61087	29.73957	29.79321	29.613	29.72672	29.73755	29.72691	29.61491					0	8334500000	34	31	28	33	25	30	31	34	30	33	51.1	51.1	39.6	35.5	33.6	37.6	27.9	34.5	36.3	36.8	34.8	39.8	49	49	0.401627748008713	0.0371910095214858	YBL076C	YBL076C
28.98783	28.66156	28.89302	28.67411	28.55362	28.92071	28.98161	28.80415	29.08357	28.59477					7.3548E-65	4707900000	4	4	5	5	5	4	4	5	4	3	52.6	52.6	37.2	37.2	43.1	39.4	39.4	37.2	37.2	44.5	37.2	31.4	7	NaN	0.494076757510871	-0.122933197021485	YER117W;YBL087C	YER117W;YBL087C
29.81955	29.88731	29.96774	29.56841	29.69121	29.73134	29.6335	29.67428	29.81218	29.54221					2.4294E-64	8309200000	5	5	5	6	6	5	7	5	5	6	53.8	53.8	35.4	34.6	35.4	40.8	41.5	34.6	46.9	35.4	35.4	41.5	8	8	0.628363724879872	0.108143615722657	YBL092W	YBL092W
28.33279	28.19868	28.38496	28.2244	27.98484	27.91091	28.16298	27.89758	27.92982	27.62805				+	1.2098E-117	2831200000	8	9	13	9	9	7	8	5	6	6	33.2	33.2	18	20.2	27.3	20.9	20.4	16.3	17.6	12.5	13.8	14.5	16	16	1.71286098134362	0.31926612854004	YBL099W	YBL099W
25.6459	26.15981	26.10759	25.55941	25.35165	22.56784	25.28778	25.67476	26.21377	26.14449					4.4276E-23	554310000	2	4	3	2	4	1	2	3	2	2	57.3	57.3	17.5	40.8	29.1	19.4	40.8	7.8	17.5	26.2	19.4	19.4	6	NaN	0.375840792033006	0.587142944335938	YNL030W;YBR009C	YNL030W;YBR009C
