Protein IDs	Pvalue	FC	FDR	Qvalue	#NAME?	t-test Difference	Unique peptides
YAL003W	0.010505044	1.523064141	0	0	1.978602145	0.6069767	13
YAL005C	0.344754969	0.825611169	0	0	0.462489465	-0.276465607	10
YAL012W	0.366869404	1.24170349	0	0	0.435488505	0.312320709	10
YAL016W	0.869480427	0.858857839	0	0	0.06074019	-0.219508743	4
YAL021C	0.559452587	0.689330933	0	0	0.252236714	-0.536731339	3
YAL025C	0.984549731	1.019474938	0	0	0.006762342	0.027826309	1
YAL035W	0.008581897	1.615212538	0	0	2.066416683	0.691724014	24
YAL036C	0.154413303	4.89698756	0	0	0.811315287	2.291894531	7
YAL038W	0.000417349	1.352737402	0	0	3.379500215	0.435881805	33
YAL044C	0.103251907	1.686568015	0	0	0.986101919	0.7540905	5
YAL049C	0.32705294	0.463598719	0	0	0.485381942	-1.109051514	3
YAL059W	0.065761638	5.73778264	0	0	1.182027376	2.520493317	4
YAL060W	0.17712797	0.419157588	0	0	0.751712855	-1.254435349	3
YAR002C-A	0.966766707	1.015300949	0	0	0.014678314	0.021907425	1
YAR002W	0.519649551	1.339103712	0	0	0.284289443	0.4212677	8
YAR007C	0.055928296	2.466591566	0	0	1.25236841	1.302518845	6
YAR015W	0.003286907	1.891223063	0	0	2.483212556	0.919319534	10
YAR042W	0.079254078	3.380260066	0	0	1.100978382	1.757134247	4
YDR224C;YBL002W	0.190327531	0.41209845	0	0	0.720498386	-1.278939056	5
YDR225W;YBL003C	0.002282853	1.379947828	0	0	2.641522061	0.464613724	3
YBL004W	0.808104491	0.881638216	0	0	0.09253248	-0.181741333	6
YBL007C	0.26496462	1.373124378	0	0	0.576812113	0.457462311	8
YBL017C	0.094706399	2.408448661	0	0	1.023620674	1.268104172	3
YBL022C	0.083336161	3.277356073	0	0	1.079166508	1.712532425	11
YBL023C	0.022220568	4.54352359	0	0	1.653244838	2.183811569	2
YBL024W	0.01565876	1.735198588	0	0	1.805242623	0.795100784	21
YBL026W	0.39586267	0.661746195	0	0	0.40245545	-0.595650101	3
YBR084C-A;YBL027W	0.581592571	1.077529549	0	0	0.23538115	0.107727432	13
YBL030C	0.047615302	4.33820617	0	0	1.322253455	2.117098618	2
YBL033C	0.763128285	0.843486495	0	0	0.117402449	-0.245563126	3
YBL034C	0.293116697	2.837109072	0	0	0.532959442	1.504421616	2
YBL036C	0.034133933	1.584127723	0	0	1.466813662	0.66368866	8
YBL039C	0.159740025	2.094687016	0	0	0.796586251	1.066734695	13
YBL041W	0.015931227	1.937611493	0	0	1.797750763	0.954279327	5
YBL045C	0.108468005	2.225887097	0	0	0.964698348	1.154380417	9
YBL047C	0.140031525	1.369154465	0	0	0.853774182	0.453285217	25
YBL050W	0.010018514	8.380256931	0	0	1.999196701	3.066994476	7
YBL051C	0.61010226	1.235877291	0	0	0.214597366	0.305535507	5
YBL055C	0.487457305	1.539525874	0	0	0.312063417	0.622486115	4
YBL056W	0.161305402	2.739172856	0	0	0.792351088	1.453740311	1
YBL058W	0.009397374	1.578882582	0	0	2.026993511	0.658903885	12
YBL064C	0.587512077	1.525538047	0	0	0.230983202	0.609318161	5
YBL068W	0.048695666	0.184845143	0	0	1.312509686	-2.435610962	3
YER102W;YBL072C	0.116213607	1.443521037	0	0	0.93474302	0.529592133	8
YBL076C	0.006249492	1.488727697	0	0	2.204155255	0.574079895	49
YER117W;YBL087C	0.11969005	1.273541909	0	0	0.921941951	0.348846436	7
YBL090W	0.008355175	4.28732057	0	0	2.078044472	2.100076294	1
YBL091C	0.517209706	1.388864954	0	0	0.286333334	0.473906326	6
YBL092W	0.730353168	1.072635322	0	0	0.136467083	0.101159668	8
YBL099W	5.67614E-05	2.616949433	0	0	4.24594723	1.387886047	16
YBL102W	0.079180524	1.719130151	0	0	1.101381631	0.781678772	1
YBR006W	0.478121974	1.341155043	0	0	0.320461296	0.423476028	4
YNL030W;YBR009C	0.185052872	1.65456664	0	0	0.73270417	0.7264534	6
YNL031C;YBR010W	0.234190011	3.18214442	0	0	0.630431633	1.669999313	2
YBR011C	0.063463893	1.334893269	0	0	1.197473289	0.416724396	15
YBR015C	0.804069668	1.084610045	0	0	0.09470632	0.117176437	2
YBR017C	0.595373818	0.621871044	0	0	0.225210267	-0.685312653	4
YBR025C	0.217675241	1.224748094	0	0	0.662190966	0.292485046	21
YBR026C	0.88634607	1.03806742	0	0	0.052396676	0.053900146	7
YBR029C	0.755516337	1.738640334	0	0	0.12175614	0.797959518	3
YBR031W	0.23143172	1.41230888	0	0	0.635577117	0.498055649	2
YBR035C	0.09521503	1.377353066	0	0	1.021294491	0.461898422	8
YBR039W	0.700158748	0.773841383	0	0	0.154803481	-0.369890213	4
YBR046C	0.832202571	1.118276843	0	0	0.079770947	0.16127739	1
YDR025W;YBR048W	0.041741445	1.346547229	0	0	1.379432522	0.429264832	12
YBR049C	0.198986582	1.402135236	0	0	0.701176207	0.487625504	8
YBR053C	0.842301432	1.084261942	0	0	0.074532461	0.116713333	4
YBR056W	0.634366307	1.186660022	0	0	0.197659892	0.246906662	4
YBR058C	0.133093619	2.801160903	0	0	0.875842765	1.486024857	3
YBR059C	0.138691691	3.659305396	0	0	0.857949555	1.871569824	5
YBR072W	0.031319814	2.261424135	0	0	1.504180831	1.177231598	4
YBR078W	0.446181801	0.767999484	0	0	0.350488148	-0.380822754	5
YBR079C	0.064290392	1.568473374	0	0	1.191853924	0.649361038	30
YBR080C	0.649422971	1.16005419	0	0	0.187472354	0.2141922	12
YBR082C;YDR059C	0.039951957	28.88440013	0	0	1.398461938	4.852218628	3
YBR084W	5.89107E-05	2.250619294	0	0	4.229806104	1.170322037	7
YBR085C-A	0.754190049	1.443918429	0	0	0.122519202	0.529989243	4
YBR088C	0.004019279	2.064372225	0	0	2.39585185	1.045703125	11
YBR089C-A	0.217839827	3.104219174	0	0	0.661862716	1.634230423	2
YBR092C;YBR093C;YAR071W;YHR215W	0.989934013	1.00816123	0	0	0.004393754	0.011726379	5
YBR094W	0.124277661	3.099558065	0	0	0.905606928	1.632062531	4
YBR095C	0.5612463	0.668635774	0	0	0.250846509	-0.58070755	3
YBR101C	0.129325893	1.480465345	0	0	0.888314514	0.56605072	5
YBR102C	0.991577151	0.991339535	0	0	0.003673489	-0.012548828	3
YBR109C	0.110658474	2.48331899	0	0	0.956015322	1.312269592	6
YBR111C	0.715011293	1.406041275	0	0	0.145687099	0.491638947	3
YBR112C	0.034004768	1.672152104	0	0	1.468460188	0.741706085	11
YBR115C	0.046149645	1.812100971	0	0	1.335831639	0.857663345	22
YPR080W;YBR118W	0.001745185	1.250288515	0	0	2.758158642	0.322261047	25
YBR121C	0.007116551	1.590599831	0	0	2.147730423	0.669570923	35
YBR126C	0.007817205	1.808980108	0	0	2.106948484	0.855176544	7
YBR127C	0.042813112	1.32147087	0	0	1.3684232	0.402144623	27
YBR130C	0.610200104	1.51228699	0	0	0.214527723	0.596731949	4
YBR139W	0.096625762	3.033387955	0	0	1.014907069	1.600930023	1
YBR142W	0.008196722	6.283401266	0	0	2.0863598	2.651545715	4
YBR143C	0.04721675	1.425495561	0	0	1.325903913	0.511463547	11
YBR145W	0.000114144	9.79398289	0	0	3.94254658	3.291895676	3
YBR146W	0.00877041	5.134854274	0	0	2.056980096	2.360323334	1
YBR149W	0.721445711	1.323724428	0	0	0.141796344	0.404602814	9
YBR151W	0.081958634	1.869911671	0	0	1.086405287	0.902970123	3
YBR154C	0.448283052	2.097484244	0	0	0.34844768	1.068659973	1
YBR155W	0.796112625	0.814037387	0	0	0.099025489	-0.296833038	4
YBR160W	0.572923259	1.430774681	0	0	0.241903547	0.516796494	4
YBR162C	0.513135717	1.556580351	0	0	0.289767755	0.638380051	1
YBR164C	0.067478403	3.818781394	0	0	1.170835202	1.933112335	5
YBR169C	0.487472265	0.705027752	0	0	0.312050088	-0.504248047	5
YBR177C	0.57168845	1.257865801	0	0	0.242840582	0.330978012	2
YPL090C;YBR181C	0.043466324	1.557756275	0	0	1.361847085	0.639469528	10
YBR189W	0.482064763	2.066395591	0	0	0.316894612	1.04711647	1
YBR191W	0.522007264	2.143771384	0	0	0.282323453	1.100151062	2
YBR196C	0.125829446	1.123229032	0	0	0.900217715	0.16765213	19
YBR198C	0.315851969	1.558267107	0	0	0.500516411	0.639942551	3
YBR214W	0.732828526	1.308864694	0	0	0.134997634	0.388315964	1
YBR216C	0.741349888	1.16612035	0	0	0.129976774	0.22171669	2
YBR218C	0.601923619	1.299642385	0	0	0.220458615	0.3781147	6
YBR221C	0.003499508	1.812775734	0	0	2.455993054	0.858200455	7
YBR229C	0.332612338	1.632720316	0	0	0.478061644	0.707277679	2
YBR233W	0.069802893	5.069690178	0	0	1.156126578	2.341897583	1
YBR233W-A	0.061911565	2.007563834	0	0	1.208228219	1.005445862	1
YBR234C	0.019614484	1.568008948	0	0	1.707423122	0.648933792	8
YBR236C	0.866912606	1.063736411	0	0	0.062024682	0.089140701	2
YBR244W	0.283947893	1.229183341	0	0	0.546761349	0.297700119	4
YBR245C	0.333251114	1.650959522	0	0	0.47722839	0.723304749	4
YBR247C	0.032823181	3.044979135	0	0	1.483819335	1.606432343	9
YBR248C	0.000428634	1.978363957	0	0	3.367913246	0.984307861	18
YBR249C	0.069193805	1.487652657	0	0	1.159932785	0.57303772	12
YBR251W	0.384984783	1.752749134	0	0	0.414556436	0.809619522	4
YBR252W	0.71811033	1.128882913	0	0	0.143808826	0.174895859	3
YBR256C	0.255484267	1.301462913	0	0	0.592635838	0.380134201	2
YBR258C	0.64746352	1.330885375	0	0	0.188784696	0.412386322	1
YBR263W	0.149930091	1.414320513	0	0	0.824111195	0.5001091	16
YBR267W	0.280230504	1.208966878	0	0	0.552484592	0.273774719	2
YBR269C	0.034908609	2.30162917	0	0	1.457067453	1.202655411	3
YBR272C	0.888533852	1.056639622	0	0	0.051326022	0.079483414	1
YBR279W	0.623990889	1.206420526	0	0	0.204821752	0.27073288	8
YBR281C	0.098177279	2.301769758	0	0	1.007989008	1.20274353	7
YBR286W	0.385714472	1.171146598	0	0	0.413734066	0.227921677	7
YBR288C	0.477342	1.617294213	0	0	0.321170352	0.693582153	3
YCL009C	0.003540753	2.095315748	0	0	2.45090435	1.067167664	7
YCL011C	0.068094158	3.915014882	0	0	1.166890146	1.969017792	4
YCL017C	0.002232966	4.428106704	0	0	2.651117896	2.146689987	7
YOR343W-B;YLR410W-B;YGR161W-B;YFL002W-A;YDR210W-B;YCL019W;YOR192C-B;YDR034C-D;YBL100W-B;YDR261W-B;YOR343W-A;YOR192C-A;YLR410W-A;YGR161W-A;YFL002W-B;YDR261W-A;YDR210W-A;YDR034C-C;YCL020W;YBL100W-A	0.450381917	1.714977739	0	0	0.346419055	0.77818985	4
YCL028W	0.620429033	0.872682624	0	0	0.207307888	-0.196471024	2
YCL030C	0.617947616	0.926854517	0	0	0.209048339	-0.10958519	23
YCL033C	0.942043714	0.974847235	0	0	0.025928944	-0.036751938	1
YCL034W	0.8488686	1.136751927	0	0	0.071159531	0.18491745	2
YCL035C	0.736016523	1.101479638	0	0	0.133112436	0.139442825	5
YCL037C	0.249121485	1.393397051	0	0	0.603588816	0.478606415	11
YCL040W	0.748839437	1.120445751	0	0	0.125611292	0.1640728	13
YCL043C	0.112232038	1.650889677	0	0	0.949883152	0.723243713	21
YCL050C	0.787689999	1.07176071	0	0	0.103644669	0.099982834	16
YCL057W	0.018210722	2.4943234	0	0	1.739672839	1.318648529	11
YCL059C	0.543458858	1.480142429	0	0	0.264833328	0.565736008	3
YCL064C	0.057294406	0.392390188	0	0	1.241887778	-1.34963913	1
YCR002C	0.011053817	1.817644048	0	0	1.95648774	0.862069702	7
YCR004C	0.002032963	7.255368263	0	0	2.691870522	2.859048843	2
YCR005C	0.750412451	0.837758101	0	0	0.124699969	-0.255394363	2
YCR009C	0.021154813	6.014494026	0	0	1.6745908	2.588443375	2
YCR012W	0.00108797	1.322970016	0	0	2.96338323	0.403780365	32
YCR016W	0.83818812	0.857739219	0	0	0.076658499	-0.221389008	2
YCR028C-A	0.134937554	3.676564919	0	0	0.869867167	1.878358459	4
YCR030C	0.310618884	1.583310306	0	0	0.507772145	0.662944031	8
YCR046C	0.002472107	4.784876199	0	0	2.606932757	2.258481598	3
YCR051W	0.046581622	5.729897346	0	0	1.331785393	2.518509293	4
YCR053W	0.016985082	1.908336313	0	0	1.769932357	0.932315445	24
YCR060W	0.683591065	0.728140799	0	0	0.165203623	-0.457710648	3
YCR072C	0.153338452	1.307957233	0	0	0.814348925	0.387315369	6
YCR073W-A	0.062869504	1.697719213	0	0	1.201559968	0.76359787	3
YCR083W	0.665576639	1.155119528	0	0	0.17680193	0.208042145	5
YCR084C	0.602427006	1.177386879	0	0	0.220095568	0.235588455	15
YCR087C-A	0.03874046	2.507318992	0	0	1.411835224	1.326145554	4
YCR088W	0.31427013	1.317540552	0	0	0.502696895	0.397847366	20
YCR093W	0.077381829	1.595130006	0	0	1.111361011	0.673674011	6
YCR102C;YLR460C	0.179326393	2.431356678	0	0	0.746355786	1.281761551	1
YDL004W	0.061508821	0.498411677	0	0	1.211062597	-1.004590225	1
YDL006W	0.165370659	1.675078544	0	0	0.781541542	0.744228745	2
YDL007W	0.502763998	1.22924867	0	0	0.298635829	0.297776794	10
YDL012C	0.574890525	1.173263544	0	0	0.240414849	0.230527115	2
YDL014W	0.009502624	2.021765207	0	0	2.022156468	1.015615463	8
YDL017W	0.425541752	1.422788819	0	0	0.371057823	0.508721542	1
YDL022W	0.076425803	1.559032019	0	0	1.116759988	0.640650558	9
YDL029W	0.000452425	1.879574019	0	0	3.344453738	0.910405731	6
YDL031W	0.721145386	0.891899417	0	0	0.141977171	-0.165047073	4
YDL040C	0.301765679	1.259566859	0	0	0.520330156	0.332927704	18
YDL047W	0.352508839	0.751497134	0	0	0.452829988	-0.412160492	7
YDL051W	0.113752017	1.735722172	0	0	0.944040893	0.795536041	8
YDL053C	0.040201301	3.799780045	0	0	1.395759893	1.925915909	4
YDL055C	0.000735182	1.400239045	0	0	3.133605035	0.485673141	14
YDL058W	0.717342164	1.191061577	0	0	0.144273642	0.252248001	6
YDL060W	0.075125954	1.569934724	0	0	1.124210002	0.650704575	7
YDL061C	0.375329784	1.502295778	0	0	0.425586972	0.587168884	5
YDL063C	0.047000414	3.056564499	0	0	1.327898315	1.611911011	3
YDL064W	0.035003112	1.40795463	0	0	1.455893344	0.493600845	3
YDL065C	0.047696545	3.097227269	0	0	1.321513082	1.630977249	4
YDL066W;YNL009W	0.00125584	1.59847228	0	0	2.901065598	0.676693726	19
YDL074C	0.003322526	3.973872691	0	0	2.478531662	1.990545654	2
YDL078C	0.611906859	1.455102629	0	0	0.213314679	0.541120911	3
YDL081C	0.486716396	1.284986393	0	0	0.312724023	0.361753082	4
YMR143W;YDL083C	0.502692492	1.054151505	0	0	0.298697601	0.07608223	12
YDL084W	0.16908654	1.393486583	0	0	0.771890963	0.478699112	19
YDL086W	0.150013167	1.690246677	0	0	0.823870621	0.75723381	3
YDL092W	0.155369292	0.38938532	0	0	0.808634813	-1.360729599	1
YDL097C	0.531420899	0.895392771	0	0	0.27456137	-0.159407425	9
YDL100C	0.283572724	1.705968458	0	0	0.547335545	0.770590973	8
YDL103C	0.666251783	1.159052212	0	0	0.176361616	0.212945557	13
YDL110C	0.225258872	2.815037506	0	0	0.647318095	1.493154144	4
YDL111C	0.514658524	1.559029134	0	0	0.28848083	0.640647888	2
YDL112W	0.06052183	1.644646624	0	0	1.218087949	0.717777634	11
YDL116W	0.139258273	3.645277373	0	0	0.856178995	1.866028595	4
YDL120W	0.053660667	2.631521703	0	0	1.270343935	1.395897293	2
YDL122W	0.187910825	1.571332203	0	0	0.726048201	0.65198822	7
YDL124W	0.446709226	1.122410506	0	0	0.349975078	0.166600418	17
YDL125C	0.071274675	1.688271525	0	0	1.147064753	0.755546951	6
YDL126C	0.050844686	1.351818825	0	0	1.293754433	0.43490181	32
YDL130W	0.000190522	1.759617949	0	0	3.720055169	0.815262222	2
YDL131W	0.469115642	0.535715306	0	0	0.328720086	-0.900461578	3
YDL132W	0.467163026	1.796413034	0	0	0.330531537	0.845119095	5
YDL135C	0.210287863	1.192463543	0	0	0.677185792	0.25394516	7
YDL191W;YDL136W	0.006011666	1.664455827	0	0	2.221005124	0.735050583	9
YDL140C	0.090861121	3.474337854	0	0	1.041621908	1.796738052	17
YDL141W	0.476855857	1.206249556	0	0	0.321612879	0.270528412	8
YDL143W	0.00951588	1.639733872	0	0	2.021551042	0.713461685	8
YDL145C	0.06998214	1.128259533	0	0	1.155012782	0.174098969	31
YDL147W	0.217862489	1.380459847	0	0	0.661817539	0.465148926	9
YDL148C	0.147688914	2.894587203	0	0	0.830652103	1.53335762	4
YDL150W	0.634554229	1.491250712	0	0	0.197531257	0.576522827	2
YDL153C	0.050484902	3.955872201	0	0	1.296838479	1.983995819	6
YDL160C	0.737260354	1.117266636	0	0	0.13237912	0.159973526	8
YDL161W	0.818806339	0.903132881	0	0	0.086818804	-0.146989822	4
YDL165W	0.652187023	1.141038659	0	0	0.185627847	0.190347672	2
YDL166C	0.373365485	1.755245676	0	0	0.427865832	0.811672974	2
YDL168W	0.102732394	1.533427814	0	0	0.988292593	0.616760254	9
YDL171C	0.001394076	1.581601879	0	0	2.855713492	0.66138649	46
YDL173W	0.025780052	4.876890339	0	0	1.588716213	2.285961533	3
YDL176W	0.751706866	0.680143098	0	0	0.123951483	-0.556089783	1
YDL178W	0.006923322	2.935499546	0	0	2.159685483	1.553606033	6
YDL182W	0.403432811	1.139300641	0	0	0.394228784	0.188148499	4
YDL185W	0.00905634	1.401493993	0	0	2.043047274	0.486965561	49
YDL188C;YDL134C	0.887418812	0.872554336	0	0	0.051871369	-0.196683121	4
YDL190C	0.170344702	3.16618692	0	0	0.76867137	1.662746429	9
YDL192W;YDL137W	0.005032404	2.400616961	0	0	2.298224502	1.263405228	7
YDL195W	0.016545108	1.324469813	0	0	1.781330382	0.405414963	18
YDL201W	0.144984954	2.93431144	0	0	0.838677065	1.553022003	5
YDL205C	0.044342973	1.837972374	0	0	1.353175197	0.878115082	3
YDL213C	0.748160384	1.099449187	0	0	0.126005292	0.13678093	2
YDL219W	0.228369561	1.530973499	0	0	0.641361783	0.61444931	1
YDL224C	0.639736823	1.063053993	0	0	0.193998651	0.088214874	1
YDL225W	0.860864694	1.092486427	0	0	0.065065103	0.127615356	7
YDL226C	0.878246483	0.96126222	0	0	0.056383581	-0.056998062	11
YDL229W	0.003997681	1.365744104	0	0	2.39819184	0.449687195	2
YDL235C	0.07593815	4.484026865	0	0	1.119539988	2.164794922	3
YDL236W	0.223160335	1.720882021	0	0	0.651382996	0.783148193	11
YDR001C;YBR001C	0.540552148	1.379712501	0	0	0.267162403	0.464367676	10
YDR002W	0.097076867	2.114467548	0	0	1.012884248	1.080294418	4
YDR012W	0.519084591	1.320575968	0	0	0.284761863	0.401167297	2
YDR016C	0.043191856	4.530976973	0	0	1.364598132	2.179822159	2
YDR017C	0.284228432	1.644023141	0	0	0.546332481	0.717230606	2
YDR019C	0.712176755	0.904586919	0	0	0.147412206	-0.144668961	4
YDR021W	0.070900775	0.395022808	0	0	1.149349016	-1.339992142	2
YDR023W	0.074222977	1.209219762	0	0	1.129461633	0.274076462	25
YDR028C	0.713272722	1.486273007	0	0	0.146744385	0.571699142	9
YDR032C	0.024355734	7.789256744	0	0	1.613398786	2.961485672	3
YDR035W	0.207811605	1.20265716	0	0	0.682330204	0.266225433	8
YDR036C	0.021882321	11.44208511	0	0	1.659906615	3.516278076	6
YDR037W	0.021712055	1.250038941	0	0	1.663299062	0.321973038	24
YDR041W	0.279198811	1.766862166	0	0	0.554086435	0.821189499	1
YDR044W	0.773998867	0.900587031	0	0	0.111259675	-0.151062393	4
YDR047W	0.192229362	2.734733739	0	0	0.716180276	1.451400375	3
YDR050C	0.009720545	1.239696752	0	0	2.012309401	0.309987259	15
YDR051C	0.014262097	1.574948153	0	0	1.8458166	0.655304337	2
YDR054C	0.136015501	2.73970163	0	0	0.866411593	1.454018784	3
YDR060W	0.118141024	2.834422474	0	0	0.92759927	1.50305481	6
YDR061W	0.632525125	1.28109074	0	0	0.198922219	0.357372665	1
YDR063W	0.212931549	1.133693502	0	0	0.671759986	0.181030655	2
YDR064W	0.034350846	1.226303844	0	0	1.464062564	0.294316483	11
YDR068W	0.011150994	6.250941436	0	0	1.95268643	2.644073486	2
YDR071C	0.53132022	1.249621553	0	0	0.274643657	0.321491241	10
YDR074W	0.192088473	1.438935102	0	0	0.716498697	0.525001526	10
YDR084C	0.283584046	2.293865193	0	0	0.547318205	1.197780609	1
YDR086C	0.963177668	0.964894827	0	0	0.016293596	-0.051556396	1
YDR091C	0.001280696	1.837304749	0	0	2.892553804	0.877590942	17
YDR092W	0.002514064	1.367817437	0	0	2.599623603	0.451875687	2
YDR098C	0.06333299	1.568315785	0	0	1.198370009	0.64921608	3
YDR099W	0.248078199	1.539252752	0	0	0.605411399	0.622230148	4
YDR101C	0.037658057	1.400163147	0	0	1.424142088	0.48559494	17
YDR116C	0.01473351	4.851345005	0	0	1.831693766	2.278384781	1
YDR117C	0.392153822	0.680145076	0	0	0.406543548	-0.556085587	3
YDR120C	0.528063027	0.528317157	0	0	0.27731424	-0.920523834	8
YDR121W	0.303323714	0.742129946	0	0	0.518093636	-0.430256271	2
YDR127W	6.67851E-06	1.683684273	0	0	5.175320657	0.751621628	41
YDR129C;REV__YDR129C	0.016414333	1.259132972	0	0	1.784776756	0.332430649	19
YDR145W	0.238941667	1.47559621	0	0	0.621708111	0.561297989	5
YDR148C	0.076010646	1.657737991	0	0	1.119125574	0.729216003	3
YDR150W	0.7466297	0.849119111	0	0	0.126894738	-0.235961151	4
YDR152W	0.795155342	0.830332775	0	0	0.099548019	-0.268238449	3
YDR153C	0.445836862	0.770190075	0	0	0.350824027	-0.376713562	3
