Protein IDs	Pvalue	FC	FDR	Qvalue	#NAME?	t-test Difference	Peptide counts (unique)
YAL003W	0.394548844	1.084844375	0	0	0.403899225	0.117488098	13
YAL005C	0.154157724	0.831607155	0	0	0.812034711	-0.266025925	10
YAL012W	0.573019433	0.974435415	0	0	0.241830649	-0.037361526	10
YAL016W	0.842137229	1.079154501	0	0	0.074617133	0.109901428	4
YAL035W	0.847507137	1.009793975	0	0	0.071856636	0.014060974	24
YAL036C	0.277562457	3.541387912	0	0	0.556639277	1.82431488	7
YAL038W	0.266146528	0.927057215	0	0	0.574879194	-0.109269714	33
YAL044C	0.860199887	0.987151266	0	0	0.065400619	-0.018656921	5
YAL059W	0.086893322	1.483453998	0	0	1.061013598	0.56896019	4
YAR002W	0.112096812	0.7049407	0	0	0.95040674	-0.504426193	8
YAR007C	0.161502219	1.309043977	0	0	0.791821505	0.388513565	6
YAR015W	0.108381133	0.908829474	0	0	0.965046314	-0.137918472	10
YDR224C;YBL002W	0.003585673	0.068544976	0	0	2.445429335	-3.866805267	5
YDR225W;YBL003C	0.680594549	1.035854178	0	0	0.167111534	0.050820923	3
YBL007C	0.718510809	1.054284748	0	0	0.143566694	0.076264572	8
YBL024W	0.664066851	1.031645589	0	0	0.177788198	0.044947433	21
YBR084C-A;YBL027W	0.441205354	0.959434938	0	0	0.355359226	-0.059743118	13
YBL036C	0.412880397	0.940416654	0	0	0.384175736	-0.088628006	8
YBL039C	0.151638927	1.320702727	0	0	0.819189297	0.401305771	13
YBL041W	0.555125038	1.338347968	0	0	0.255609184	0.420453262	5
YBL045C	0.674055327	1.219972995	0	0	0.171304455	0.286849213	9
YBL047C	0.149093288	0.872904864	0	0	0.826541908	-0.196103668	25
YBL050W	0.037570843	1.740873257	0	0	1.425149059	0.799811172	7
YBL051C	0.798071911	1.085742584	0	0	0.097957974	0.118682098	5
YBL058W	0.426344569	0.912993667	0	0	0.370239265	-0.131323242	12
YBL064C	0.609632557	1.161253531	0	0	0.214931848	0.215682983	5
YER102W;YBL072C	0.741083364	1.037239643	0	0	0.130132936	0.052749252	8
YBL076C	0.396617846	1.026113991	0	0	0.401627748	0.03719101	49
YER117W;YBL087C	0.32057027	0.918318683	0	0	0.494076758	-0.122933197	7
YBL092W	0.235307774	1.077840435	0	0	0.628363725	0.108143616	8
YBL099W	0.019370419	1.247695708	0	0	1.712860981	0.319266129	16
YNL030W;YBR009C	0.401349374	1.689303479	0	0	0.39647741	0.756428528	6
YBR011C	0.088769465	0.880726031	0	0	1.051736398	-0.183234787	15
YBR025C	0.583382338	0.942552828	0	0	0.234046723	-0.085354614	21
YBR026C	0.982352817	0.998127584	0	0	0.007732505	-0.002703857	7
YBR031W	0.21895614	0.874324338	0	0	0.659642872	-0.193759537	2
YBR035C	0.5643343	0.93373267	0	0	0.248463553	-0.098918533	8
YDR025W;YBR048W	0.463181179	0.917094974	0	0	0.334249096	-0.124856949	12
YBR049C	0.707355345	1.124406653	0	0	0.150362361	0.169163895	8
YBR053C	0.846192973	0.922385131	0	0	0.072530585	-0.116558838	4
YBR072W	0.058300499	2.137167633	0	0	1.234327732	1.095700073	4
YBR078W	0.033338206	0.787542168	0	0	1.477057778	-0.344570923	5
YBR079C	0.269328219	1.047412744	0	0	0.569718141	0.066830063	30
YBR080C	0.532630203	0.751082945	0	0	0.27357421	-0.412955856	12
YBR082C;YDR059C	0.128474663	6.574274014	0	0	0.891182513	2.716831589	3
YBR084W	0.396578533	1.089617107	0	0	0.401670799	0.123821259	7
YBR088C	0.650295355	0.968591103	0	0	0.186889348	-0.046040344	11
YBR092C;YBR093C;YAR071W;YHR215W	0.73165276	0.806278484	0	0	0.135694985	-0.310649872	5
YBR095C	0.761362518	1.079167056	0	0	0.118408507	0.109918213	3
YBR101C	0.136476121	0.544604177	0	0	0.864943328	-0.876720047	5
YBR109C	0.162511425	2.362556475	0	0	0.789116101	1.240348816	6
YBR112C	0.684324239	0.967793649	0	0	0.164738077	-0.047228622	11
YBR115C	0.853749083	1.019326958	0	0	0.06866975	0.027616882	22
YPR080W;YBR118W	0.637272469	0.964745331	0	0	0.195674843	-0.051779938	25
YBR121C	0.356418305	1.046820789	0	0	0.448039999	0.066014481	35
YBR126C	0.991529029	0.999113018	0	0	0.003694567	-0.001280212	7
YBR127C	0.945593541	1.00488479	0	0	0.024295503	0.007030106	27
YBR143C	0.468401415	0.931883303	0	0	0.329381802	-0.101778793	11
YBR149W	0.76428902	1.04234906	0	0	0.11674238	0.059838486	9
YBR164C	0.68695719	0.820364825	0	0	0.163070326	-0.28566246	5
YBR169C	0.761680808	1.072695168	0	0	0.118226987	0.101240158	5
YPL090C;YBR181C	0.306248747	1.18825756	0	0	0.513925679	0.24884758	10
YBR196C	0.193562138	0.926641327	0	0	0.71317959	-0.109917068	19
