Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides puf3a	Peptides puf3b	Peptides puf3c	Peptides puf3d	Peptides puf3e	Peptides wta	Peptides wtb	Peptides wtc	Peptides wtd	Peptides wte	Razor + unique peptides puf3a	Razor + unique peptides puf3b	Razor + unique peptides puf3c	Razor + unique peptides puf3d	Razor + unique peptides puf3e	Razor + unique peptides wta	Razor + unique peptides wtb	Razor + unique peptides wtc	Razor + unique peptides wtd	Razor + unique peptides wte	Unique peptides puf3a	Unique peptides puf3b	Unique peptides puf3c	Unique peptides puf3d	Unique peptides puf3e	Unique peptides wta	Unique peptides wtb	Unique peptides wtc	Unique peptides wtd	Unique peptides wte	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Fraction 3	Fraction 4	Fraction 5	Fraction 6	Fraction 7	Fraction 8	Fraction 9	Fraction 10	Experiment puf3a	Experiment puf3b	Experiment puf3c	Experiment puf3d	Experiment puf3e	Experiment wta	Experiment wtb	Experiment wtc	Experiment wtd	Experiment wte	PEP	Sequence coverage puf3a [%]	Sequence coverage puf3b [%]	Sequence coverage puf3c [%]	Sequence coverage puf3d [%]	Sequence coverage puf3e [%]	Sequence coverage wta [%]	Sequence coverage wtb [%]	Sequence coverage wtc [%]	Sequence coverage wtd [%]	Sequence coverage wte [%]	Intensity	Intensity puf3a	Intensity puf3b	Intensity puf3c	Intensity puf3d	Intensity puf3e	Intensity wta	Intensity wtb	Intensity wtc	Intensity wtd	Intensity wte	LFQ intensity puf3a	LFQ intensity puf3b	LFQ intensity puf3c	LFQ intensity puf3d	LFQ intensity puf3e	LFQ intensity wta	LFQ intensity wtb	LFQ intensity wtc	LFQ intensity wtd	LFQ intensity wte	MS/MS Count puf3a	MS/MS Count puf3b	MS/MS Count puf3c	MS/MS Count puf3d	MS/MS Count puf3e	MS/MS Count wta	MS/MS Count wtb	MS/MS Count wtc	MS/MS Count wtd	MS/MS Count wte	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533	CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533	4;3;3;3	2;1;1;1	2;1;1;1	>O43790 SWISS-PROT:O43790 Keratin, type II cuticular Hb6 (Hair keratin, type II Hb6) (ghHb6) - Homo sapiens (Human).;>Q6NT21 TREMBL:Q6NT21 Keratin, hair, basic, 3 - Homo sapiens (Human).;>P78385 SWISS-PROT:P78385 Keratin, type II cuticular Hb3 (Hair kerati	4	4	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	12.3	8.8	8.8	53.5	486	486;493;493;505	9									2										2		3.753E-15	0	0	0	0	0	0	0	0	12.3	0	15792000	0	0	0	0	0	0	0	0	15792000	0	0	0	0	0	0	0	0	0	22643000	0	0	0	0	0	0	0	0	0	2	0			+	0	3086;6071;6282;12193	False;False;True;True	3126;6139;6353;12379	18580;37437;38687;75155	20978;42594;43941;85651	20978;42594;43941;85651		
CON__Q6NTB9;CON__O76009	CON__Q6NTB9;CON__O76009	6;6	2;2	2;2	>Q6NTB9 TREMBL:Q6NTB9 Type I hair keratin 3A - Homo sapiens (Human).;>O76009 SWISS-PROT:O76009 Keratin, type I cuticular HA3-I (Hair keratin, type I HA3-I)	2	6	2	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	18.3	6.4	6.4	45.968	404	404;404	9									2										2		7.4719E-96	0	0	0	0	0	0	0	0	18.3	0	7360700	0	0	0	0	0	0	0	0	7360700	0	0	0	0	0	0	0	0	0	10554000	0	0	0	0	0	0	0	0	0	2	0			+	1	751;1676;2614;2660;6668;10232	False;False;False;False;True;True	768;1699;2651;2697;6744;10379	5103;10595;15684;16017;41239;61990	5820;11985;17654;18027;46916;70167	5820;11985;17654;18027;46916;70167		
CON__O76011;CON__Q8IUT8	CON__O76011;CON__Q8IUT8	4;4	1;1	1;1	>O76011 SWISS-PROT:O76011 Keratin, type I cuticular HA4 (Hair keratin, type I HA4);>Q8IUT8 TREMBL:Q8IUT8 Type I hair keratin 4 - Homo sapiens (Human).	2	4	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	14.2	5.3	5.3	44.689	394	394;436	9									1										1		1.1236E-86	0	0	0	0	0	0	0	0	14.2	0	4089600	0	0	0	0	0	0	0	0	4089600	0	0	0	0	0	0	0	0	0	5863900	0	0	0	0	0	0	0	0	0	1	0			+	2	751;2614;2660;7034	False;False;False;True	768;2651;2697;7117	5103;15684;16017;43459	5820;17654;18027;49361	5820;17654;18027;49361		
CON__P00761;CON__P07477	CON__P00761	10;1	10;1	10;1	>P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	2	10	10	10	6	7	7	7	9	9	8	8	8	6	6	7	7	7	9	9	8	8	8	6	6	7	7	7	9	9	8	8	8	6	53.2	53.2	53.2	24.409	231	231;247	5.65	10	12	10	14	15	12	10	14	14	12	10	12	10	14	15	12	10	14	14	12	3.3536E-251	39	42.4	42.4	42.4	46.8	53.2	46.8	48.9	48.9	37.7	22088000000	2171400000	2905000000	2013300000	2380900000	2656900000	2300400000	1765600000	2382200000	1703700000	1808500000	2502300000	2414500000	2061400000	2034200000	1769600000	3165800000	2548900000	2563400000	2274300000	2061700000	17	21	15	20	22	18	18	19	18	18			+	3	694;4873;4874;6442;7309;8157;9289;10123;11435;11458	True;True;True;True;True;True;True;True;True;True	709;4927;4928;4929;6516;7395;8279;9423;10270;11608;11631	4680;4681;4682;29992;29993;29994;29995;29996;29997;29998;29999;30000;30001;30002;30003;30004;30005;30006;30007;30008;30009;30010;30011;30012;30013;30014;30015;30016;30017;30018;30019;30020;30021;39715;39716;39717;39718;39719;39720;39721;39722;39723;39724;39725;39726;39727;39728;39729;39730;39731;39732;39733;39734;39735;39736;39737;39738;39739;45281;45282;45283;45284;45285;45286;45287;45288;45289;45290;45291;45292;45293;45294;45295;45296;45297;45298;45299;45300;45301;45302;45303;50213;50214;50215;50216;50217;50218;50219;50220;56411;56412;56413;56414;56415;56416;56417;56418;56419;61406;61407;61408;61409;61410;61411;61412;61413;61414;61415;70012;70013;70014;70015;70016;70017;70018;70019;70020;70021;70165;70166;70167;70168;70169	5314;5315;5316;34198;34199;34200;34201;34202;34203;34204;34205;34206;34207;34208;34209;34210;34211;34212;34213;34214;34215;34216;34217;34218;34219;34220;34221;34222;34223;34224;34225;34226;34227;34228;34229;34230;34231;34232;34233;45179;45180;45181;45182;45183;45184;45185;45186;45187;45188;45189;45190;45191;45192;45193;45194;45195;45196;45197;45198;45199;45200;45201;45202;45203;45204;45205;45206;45207;45208;45209;45210;45211;45212;45213;45214;45215;45216;45217;45218;45219;45220;45221;45222;45223;45224;45225;45226;45227;45228;51474;51475;51476;51477;51478;51479;51480;51481;51482;51483;51484;51485;51486;51487;51488;51489;51490;51491;51492;51493;51494;51495;51496;51497;51498;51499;51500;51501;51502;51503;51504;51505;51506;51507;51508;51509;51510;51511;51512;51513;56993;56994;56995;56996;56997;56998;56999;57000;63809;63810;63811;63812;63813;63814;63815;63816;63817;69531;69532;69533;69534;69535;69536;69537;69538;69539;69540;69541;69542;69543;69544;79709;79710;79711;79712;79713;79714;79715;79716;79717;79718;79719;79720;79721;79722;79723;79724;79725;79726;79727;79728;79729;79730;79731;79732;79733;79881;79882;79883;79884;79885	5316;34232;34233;45213;51501;56995;63811;69534;79715;79882	0	94
CON__P02533;CON__Q04695;CON__Q9QWL7	CON__P02533;CON__Q04695;CON__Q9QWL7	4;2;2	1;1;1	1;1;1	>P02533 SWISS-PROT:P02533 Tax_Id=9606 Gene_Symbol=KRT14 Keratin, type I cytoskeletal 14;>Q04695 SWISS-PROT:Q04695 Tax_Id=9606 Gene_Symbol=KRT17 Keratin, type I cytoskeletal 17;>Q9QWL7 SWISS-PROT:Q9QWL7 Tax_Id=10090 Gene_Symbol=Krt17 Keratin, type I cytoske	3	4	1	1	0	0	1	0	2	3	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9.5	2.8	2.8	51.621	472	472;432;433	6						1										1					3.39E-20	0	0	1.9	0	4.4	7	0	0	1.9	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			+	4	469;2647;11110;12251	False;True;False;False	478;2684;11276;12438	3231;15930;67743;75454;75455;75456;75457;75458	3595;17924;77127;85994;85995;85996;85997;85998	3595;17924;77127;85996		
CON__P48668;CON__P02538;CON__P04259	CON__P48668;CON__P02538;CON__P04259	5;5;4	2;2;1	2;2;1	>P48668 SWISS-PROT:P48668 Tax_Id=9606 Gene_Symbol=KRT6C Keratin, type II cytoskeletal 6C;>P02538 SWISS-PROT:P02538 Tax_Id=9606 Gene_Symbol=KRT6A Keratin, type II cytoskeletal 6A;>P04259 SWISS-PROT:P04259 Tax_Id=9606 Gene_Symbol=KRT6B Keratin, type II cytos	3	5	2	2	0	0	0	2	0	3	0	0	4	0	0	0	0	2	0	2	0	0	2	0	0	0	0	2	0	2	0	0	2	0	10.6	6	6	60.024	564	564;564;564	6.33				2		2			2					2		2			2		1.0354E-21	0	0	0	6	0	8.2	0	0	8.5	0	22412000	0	0	0	4528600	0	13709000	0	0	4175100	0	0	0	0	4532200	0	17992000	0	0	6067300	0	0	0	0	2	0	2	0	0	2	0			+	5	368;2806;3086;5246;8176	True;False;False;True;False	375;2843;3126;5304;8298	2543;2544;2545;17096;18580;32461;32462;32463;50335	2874;2875;2876;19318;20978;37097;37098;37099;57116	2875;19318;20978;37097;57116		
CON__P04264;CON__ENSEMBL:ENSBTAP00000038253	CON__P04264	19;4	19;4	15;2	>P04264 SWISS-PROT:P04264 Tax_Id=9606 Gene_Symbol=KRT1 Keratin, type II cytoskeletal 1	2	19	19	15	6	8	4	4	8	13	7	7	8	7	6	8	4	4	8	13	7	7	8	7	3	5	3	2	6	10	4	5	5	4	35.2	35.2	28.9	66.017	644	644;606	5.82	6	10	5	5	9	16	7	8	10	9	6	10	5	5	9	16	7	8	10	9	5.5165E-242	11.8	18	7.8	7.9	13.4	25.9	15.5	13.7	14.1	12.4	576430000	32827000	26103000	28264000	19398000	89090000	245830000	15029000	45977000	38241000	35668000	37423000	45317000	27491000	42006000	51718000	314740000	24076000	42844000	47810000	32918000	3	5	3	2	6	11	4	5	6	4			+	6	140;1843;3087;3273;3600;4623;6928;8154;8768;9520;9676;9695;9740;9813;9858;10750;10899;10975;12445	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	141;1870;3127;3313;3642;4677;7009;8276;8899;9658;9816;9837;9882;9955;10001;10908;11059;11137;12636	934;11542;11543;11544;11545;18581;18582;18583;18584;18585;18586;18587;18588;18589;18590;18591;18592;19685;21689;21690;27967;27968;42886;50187;50188;50189;53565;53566;53567;53568;53569;53570;53571;53572;53573;53574;53575;53576;57646;58545;58546;58714;58715;58716;58717;59006;59007;59008;59009;59010;59011;59012;59013;59014;59015;59016;59017;59018;59019;59020;59021;59022;59023;59372;59373;59674;59675;59676;65506;65507;65508;66412;66413;66841;66842;66843;77016;77017;77018;77019;77020;77021;77022;77023;77024	1057;13043;13044;13045;13046;20979;20980;20981;20982;20983;20984;20985;20986;20987;20988;20989;20990;22247;24569;24570;31638;31639;48748;56966;56967;56968;60753;60754;60755;60756;60757;60758;60759;60760;60761;60762;60763;60764;65198;66239;66240;66453;66454;66455;66456;66763;66764;66765;66766;66767;66768;66769;66770;66771;66772;66773;66774;66775;66776;66777;66778;66779;66780;67136;67137;67455;67456;67457;74532;74533;74534;75586;75587;76064;76065;76066;87894;87895;87896;87897;87898;87899;87900;87901;87902	1057;13044;20984;22247;24569;31639;48748;56968;60756;65198;66240;66456;66777;67137;67457;74532;75586;76064;87901		
CON__P08779;CON__Q9Z2K1;CON__Q3ZAW8;CON__ENSEMBL:ENSP00000377550;CON__Q6IFX2;CON__P19012;CON__A2A4G1;CON__P13646-1;CON__Q61782;CON__P35900;CON__Q9D312;CON__P08730-1	CON__P08779	8;3;3;2;2;2;2;2;1;1;1;1	7;2;2;2;2;2;1;2;1;1;1;1	5;1;1;0;0;0;0;0;0;0;0;0	>P08779 SWISS-PROT:P08779 Tax_Id=9606 Gene_Symbol=KRT16 Keratin, type I cytoskeletal 16	12	8	7	5	0	1	1	0	2	6	0	0	3	1	0	1	0	0	1	5	0	0	2	0	0	1	0	0	0	4	0	0	2	0	20.5	18.6	13.7	51.267	473	473;469;474;420;452;456;456;458;93;424;431;437	6.11		1			1	5			2			1			1	5			2		2.2531E-26	0	2.3	1.9	0	4.4	15.6	0	0	6.6	1.9	19287000	0	10212000	0	0	0	7301100	0	0	1773800	0	0	0	0	0	0	9713700	0	0	0	0	0	1	0	0	0	4	0	0	1	0			+	7	469;1136;2646;5817;6757;10847;11110;12251	True;True;True;True;True;True;True;False	478;1155;2683;5882;6833;11006;11276;12438	3231;7521;7522;15928;15929;35987;41761;66132;67743;75454;75455;75456;75457;75458	3595;8632;8633;17922;17923;41012;47493;75244;77127;85994;85995;85996;85997;85998	3595;8632;17922;41012;47493;75244;77127;85996		
CON__P13645;CON__P02535-1;CON__Q148H6;CON__Q7Z3Y9	CON__P13645	16;3;1;1	16;3;1;1	15;2;0;0	>P13645 SWISS-PROT:P13645 Tax_Id=9606 Gene_Symbol=KRT10 Keratin, type I cytoskeletal 10	4	16	16	15	5	8	8	9	7	13	3	7	7	10	5	8	8	9	7	13	3	7	7	10	5	8	7	9	6	12	3	7	6	9	36.4	36.4	34.9	59.51	593	593;570;464;468	5.61	5	8	8	11	7	17	3	7	7	10	5	8	8	11	7	17	3	7	7	10	6.9933E-284	10.8	13.8	14.7	17	12.6	28.8	7.4	14	12.5	19.9	609210000	31067000	50139000	42717000	73908000	60320000	217580000	7801400	43426000	34585000	47668000	39463000	57043000	53161000	61245000	69179000	195740000	24166000	68784000	65077000	50257000	5	8	7	11	6	18	3	7	7	9			+	8	179;472;2369;3951;3970;5215;6331;6720;8509;9521;9794;10064;10065;11824;12251;12574	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	180;481;2404;3995;4014;5273;6404;6796;8637;9659;9936;10211;10212;12005;12438;12768	1213;1214;1215;1216;1217;1218;3236;14345;14346;14347;14348;14349;14350;14351;14352;14353;14354;23738;23739;23740;23741;23742;23861;32107;32108;32109;32110;32111;32112;38896;38897;38898;38899;38900;38901;41542;41543;41544;52293;52294;52295;52296;52297;52298;52299;52300;57647;59275;59276;59277;60900;60901;60902;60903;60904;60905;60906;60907;60908;60909;60910;60911;60912;60913;60914;60915;60916;60917;72670;72671;72672;72673;72674;72675;72676;72677;72678;75454;75455;75456;75457;75458;77831	1413;1414;1415;1416;1417;1418;1419;3600;16217;16218;16219;16220;16221;16222;16223;16224;16225;16226;16227;16228;26871;26872;26873;26874;26875;26994;36627;36628;36629;36630;36631;36632;44154;44155;44156;44157;44158;44159;47273;47274;47275;59356;59357;59358;59359;59360;59361;59362;59363;65199;67039;67040;67041;68846;68847;68848;68849;68850;68851;68852;68853;68854;68855;68856;68857;68858;68859;68860;68861;68862;68863;82720;82721;82722;82723;82724;82725;82726;82727;82728;85994;85995;85996;85997;85998;88745	1418;3600;16226;26871;26994;36630;44155;47275;59357;65199;67039;68852;68859;82724;85996;88745		
CON__P13647;CON__Q5XKE5;CON__O95678;CON__Q9NSB2;CON__Q6ISB0;CON__P12035;CON__Q01546;CON__Q8N1N4-2;CON__Q7RTT2	CON__P13647	7;3;3;2;2;2;2;1;1	5;1;1;1;1;1;1;1;1	3;0;0;0;0;0;0;0;0	>P13647 SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5	9	7	5	3	1	0	1	0	0	3	1	0	3	0	1	0	1	0	0	2	1	0	2	0	1	0	1	0	0	1	1	0	1	0	12.5	9.3	6.4	62.378	590	590;535;551;600;600;629;638;521;521	5.86	1		1			2	1		2		1		1			2	1		2		1.7529E-17	1.7	0	2.9	0	0	6.6	1.9	0	4.2	0	13394000	3317400	0	1209100	0	0	1097800	1882400	0	5887200	0	0	0	0	0	0	1460600	0	0	0	0	1	0	1	0	0	1	1	0	1	0			+	9	2806;3086;3745;5250;6070;8176;12630	False;True;True;True;True;False;True	2843;3126;3787;5308;6138;8298;12826	17096;18580;22521;22522;32471;32472;37436;50335;78117	19318;20978;25520;25521;37107;37108;42593;57116;89066	19318;20978;25521;37108;42593;57116;89066		
